,week,state,Population,deaths,cases,negatives,Date,death_SMA,deaths_per_100000,cases_per_100000,positive_test_rate,timestamp
152,13,WY,578759,0,62,1116,2020-03-29,0.0,0.0,1.5303680559858002,0.05263157894736842,2020-03-29
141,13,RI,1059361,3,304,1509,2020-03-29,1.5,0.02022782736816952,4.099506346615689,0.16767788196359626,2020-03-29
128,13,MT,1068778,1,123,2997,2020-03-29,0.5,0.00668320001240402,1.6440672030513888,0.03942307692307692,2020-03-29
114,13,IA,3155070,4,246,3798,2020-03-29,2.0,0.00905571938861216,1.1138534847992958,0.06083086053412463,2020-03-29
126,13,MO,6137428,7,748,11178,2020-03-29,5.0,0.011638192974088076,1.741073668923576,0.06272010732852591,2020-03-29
103,13,AL,4903185,4,668,2720,2020-03-29,2.0,0.005827116164580487,1.9462567989698825,0.19716646989374262,2020-03-29
104,13,AR,3017804,6,261,2316,2020-03-29,3.0,0.01420143351163391,1.2355247155121503,0.10128055878928988,2020-03-29
105,13,AZ,7278717,15,767,12671,2020-03-29,8.5,0.016682688917369837,1.5053673411320783,0.05707694597410329,2020-03-29
106,13,CA,39512223,96,4172,9245,2020-03-29,59.0,0.021331554614306133,1.5083939974726301,0.31094879630319744,2020-03-29
107,13,CO,5758736,41,1716,7892,2020-03-29,23.0,0.05705617145349753,4.256886531052251,0.17860116569525394,2020-03-29
108,13,CT,3565287,29,1770,7030,2020-03-29,17.0,0.06811713695339053,7.0921960239706605,0.20113636363636364,2020-03-29
109,13,DC,705749,4,244,1512,2020-03-29,2.5,0.050604798185028554,4.939028302858787,0.13895216400911162,2020-03-29
110,13,DE,973764,10,176,0,2020-03-29,5.0,0.07335306237298918,2.5820277955292186,1.0,2020-03-29
111,13,FL,21477737,43,3153,31080,2020-03-29,26.0,0.017293654886851972,2.0971882253170877,0.09210411006923144,2020-03-29
112,13,GA,10617423,57,2051,6493,2020-03-29,39.5,0.05314714448936567,2.7596150214604807,0.24005149812734083,2020-03-29
113,13,HI,1415872,0,103,6586,2020-03-29,0.0,0.0,1.0392384138033461,0.015398415308715802,2020-03-29
102,13,AK,731545,2,85,2281,2020-03-29,1.0,0.019528141516535945,1.659892028905555,0.035925612848689774,2020-03-29
115,13,ID,1787065,5,219,2846,2020-03-29,2.5,0.019984883434170393,1.7506757888333264,0.07145187601957585,2020-03-29
125,13,MN,5639632,8,376,14055,2020-03-29,4.5,0.011398920051115797,0.9524430976043422,0.026055020442103803,2020-03-29
124,13,MI,9986857,315,7962,12626,2020-03-29,175.5,0.25104423314991464,11.38925461162177,0.38673013405867496,2020-03-29
123,13,ME,1344212,3,164,1130,2020-03-29,1.5,0.01594136299078674,1.7429223536593506,0.1267387944358578,2020-03-29
122,13,MD,6045680,20,995,12260,2020-03-29,12.0,0.028355548330141755,2.351147549040921,0.07506601282534893,2020-03-29
121,13,MA,6892503,88,4309,28758,2020-03-29,49.5,0.10259594477403304,8.931028808713302,0.13031118637916955,2020-03-29
127,13,MS,2976149,13,551,1446,2020-03-29,7.0,0.033600468256125615,2.6448368584464594,0.2759138708062093,2020-03-29
119,13,KY,4467673,6,295,3675,2020-03-29,4.0,0.012790295337831829,0.9432842811650974,0.0743073047858942,2020-03-29
118,13,KS,2913314,4,255,3777,2020-03-29,2.5,0.012258989492476852,1.2504169282326392,0.06324404761904762,2020-03-29
117,13,IN,6732219,26,1313,7023,2020-03-29,16.0,0.0339518706345454,2.7861753839473815,0.15750959692898273,2020-03-29
116,13,IL,12671821,56,3547,15895,2020-03-29,32.5,0.03663922606590752,3.9987487647930453,0.18244007818125707,2020-03-29
120,13,LA,4648794,131,2703,21670,2020-03-29,74.5,0.22893802441788438,8.306301744987135,0.11090140729495754,2020-03-29
180,14,NC,10488084,27,1545,19555,2020-04-05,15.5,0.02111239492633463,2.104429042657226,0.07322274881516588,2020-04-05
181,14,ND,762062,2,110,3225,2020-04-05,1.5,0.02811919690073961,2.0620744393875716,0.03298350824587706,2020-04-05
182,14,NE,1934408,6,255,3590,2020-04-05,4.0,0.029540229952966044,1.8831896595015853,0.06631989596879063,2020-04-05
183,14,NH,1359711,7,407,2887,2020-04-05,4.5,0.04727895434082264,4.276118759269958,0.12355798421372192,2020-04-05
184,14,NJ,8882190,967,24119,22445,2020-04-05,577.5,0.9288249857298706,38.79191312695888,0.5179752598574006,2020-04-05
185,14,NM,2096829,10,387,7570,2020-04-05,6.0,0.04087805238972072,2.6366343791369866,0.048636420761593566,2020-04-05
186,14,NV,3080156,48,1098,6583,2020-04-05,34.5,0.16001044845038462,5.09250644633398,0.1429501367009504,2020-04-05
187,14,NY,19453561,3194,62518,67292,2020-04-05,2022.5,1.4852220188816403,45.91006683631268,0.4816115861643941,2020-04-05
188,14,OH,11689100,90,2390,20701,2020-04-05,58.0,0.0708841081495948,2.920914111681579,0.10350352951366333,2020-04-05
189,14,OK,3956971,30,823,196,2020-04-05,22.0,0.07942583210382748,2.9712481737022736,0.8076545632973503,2020-04-05
190,14,OR,4217737,14,520,8678,2020-04-05,11.5,0.03895115183467207,1.761269474263433,0.05653402913676886,2020-04-05
193,14,SC,5148714,28,1275,13912,2020-04-05,20.5,0.05687966798255697,3.537637886720007,0.08395338118127346,2020-04-05
192,14,RI,1059361,22,733,3976,2020-04-05,12.5,0.16856522806807933,9.88466497391217,0.15565937566362284,2020-04-05
194,14,SD,884659,1,150,2226,2020-04-05,0.5,0.00807413607147742,2.422240821443226,0.06313131313131314,2020-04-05
195,14,TN,6829174,37,2096,22630,2020-04-05,22.0,0.04602104358238849,4.384550334031194,0.08476906899619834,2020-04-05
203,14,WY,578759,0,111,1486,2020-04-05,0.0,0.0,2.7398524873294163,0.06950532247964934,2020-04-05
197,14,UT,3205958,6,886,15058,2020-04-05,3.5,0.015595962267752728,3.9480064483511192,0.055569493226292024,2020-04-05
198,14,VA,8535519,29,1747,11315,2020-04-05,24.0,0.04016828301326995,2.923916267674275,0.13374674628693922,2020-04-05
199,14,VT,623989,10,278,2286,2020-04-05,10.0,0.2289417647701207,6.364581060609355,0.10842433697347893,2020-04-05
200,14,WA,7614893,149,2668,27644,2020-04-05,130.0,0.24388298786901627,5.0052293202656575,0.08801794668778042,2020-04-05
201,14,WI,5822434,55,1367,8619,2020-04-05,32.0,0.07851404707083964,3.3540219483074307,0.13689164830763068,2020-04-05
202,14,WV,1792147,3,211,5809,2020-04-05,1.5,0.011956927321570958,1.6819411099009813,0.03504983388704319,2020-04-05
179,14,MT,1068778,5,132,2174,2020-04-05,3.0,0.04009920007442412,1.764364803274661,0.05724197745013009,2020-04-05
191,14,PA,12801989,112,8116,36200,2020-04-05,74.0,0.08257645410747168,9.05662839913838,0.18313927249751782,2020-04-05
196,14,TX,28995881,93,4260,40918,2020-04-05,61.0,0.03005352972129288,2.0988202723394696,0.09429368276594803,2020-04-05
178,14,MS,2976149,29,880,3020,2020-04-05,21.0,0.10080140476837685,4.224058866484364,0.22564102564102564,2020-04-05
176,14,MN,5639632,20,492,9524,2020-04-05,14.0,0.03546330682569359,1.2462819255886604,0.04912140575079872,2020-04-05
177,14,MO,6137428,24,1529,13335,2020-04-05,15.5,0.03607839821967303,3.558959411476134,0.1028659849300323,2020-04-05
153,14,AK,731545,4,75,2875,2020-04-05,3.0,0.05858442454960783,1.4646106137401955,0.025423728813559324,2020-04-05
154,14,AL,4903185,41,990,7098,2020-04-05,22.5,0.06555505685153047,2.884422501467341,0.12240356083086053,2020-04-05
155,14,AR,3017804,10,404,7385,2020-04-05,8.0,0.03787048936435709,1.9124597129000331,0.05186801900115547,2020-04-05
156,14,AZ,7278717,47,1350,12188,2020-04-05,31.0,0.060842747816289997,2.6496035339352093,0.09971930861279361,2020-04-05
157,14,CA,39512223,196,7730,82546,2020-04-05,146.0,0.05278655887607958,2.794795206247227,0.08562630156409234,2020-04-05
158,14,CO,5758736,93,2643,8086,2020-04-05,67.0,0.166207108147145,6.556498310938869,0.2463416907447106,2020-04-05
160,14,DC,705749,17,656,3367,2020-04-05,10.5,0.2125401523771199,13.278699043751491,0.16306239125031072,2020-04-05
161,14,DE,973764,9,441,6285,2020-04-05,9.5,0.13937081850867944,6.469740101297646,0.0655664585191793,2020-04-05
162,14,FL,21477737,162,7361,62183,2020-04-05,102.5,0.06817690868855104,4.896099754696822,0.10584665823076038,2020-04-05
163,14,GA,10617423,131,3996,11272,2020-04-05,94.0,0.12647674891140184,5.376607326063422,0.2617238669111868,2020-04-05
159,14,CT,3565287,155,3682,7688,2020-04-05,92.0,0.3686339176301135,14.753370486022584,0.3238346525945471,2020-04-05
